14Oct1978,4600
15Oct1978,4800
16Oct1978,4600
17Oct1978,4500
18Oct1978,4600
19Oct1978,4600
20Oct1978,5400
21Oct1978,5900
22Oct1978,5900
23Oct1978,5400
24Oct1978,4500
25Oct1978,4000
26Oct1978,3400
27Oct1978,3100
28Oct1978,2900
29Oct1978,3000
30Oct1978,3100
31Oct1978,3400
01Nov1978,3300
02Nov1978,3100
03Nov1978,3300
04Nov1978,4500
05Nov1978,3500
06Nov1978,3400
07Nov1978,3400
08Nov1978,3300
09Nov1978,2600
10Nov1978,2200
11Nov1978,2400
12Nov1978,2500
13Nov1978,2600
14Nov1978,2700
15Nov1978,2500
16Nov1978,2400
17Nov1978,2600
18Nov1978,3000
19Nov1978,3300
20Nov1978,3300
21Nov1978,3600
22Nov1978,2700
23Nov1978,3000
24Nov1978,3100
25Nov1978,4000
26Nov1978,3600
27Nov1978,3400
28Nov1978,3500
29Nov1978,4300
30Nov1978,5400
01Dec1978,6300
02Dec1978,7500
03Dec1978,8900
04Dec1978,9500
05Dec1978,11700
06Dec1978,15100
07Dec1978,20000
08Dec1978,23600
09Dec1978,50200
10Dec1978,61800
11Dec1978,32000
12Dec1978,23000
13Dec1978,26900
14Dec1978,28200
15Dec1978,25200
16Dec1978,20200
17Dec1978,23100
18Dec1978,20300
19Dec1978,18900
20Dec1978,14700
21Dec1978,14800
22Dec1978,27800
23Dec1978,33000
24Dec1978,28000
25Dec1978,26100
26Dec1978,29000
27Dec1978,30000
28Dec1978,24000
29Dec1978,20000
30Dec1978,18100
31Dec1978,14200
01Jan1979,19300
02Jan1979,31000
03Jan1979,62500
04Jan1979,79100
05Jan1979,48300
06Jan1979,22400
07Jan1979,28700
08Jan1979,42300
09Jan1979,63000
10Jan1979,53500
11Jan1979,39400
12Jan1979,30500
13Jan1979,28900
14Jan1979,27800
15Jan1979,26700
16Jan1979,25000
17Jan1979,16600
18Jan1979,19900
19Jan1979,15500
20Jan1979,21800
21Jan1979,41000
22Jan1979,86400
23Jan1979,96700
24Jan1979,66000
25Jan1979,53400
26Jan1979,55400
27Jan1979,42000
28Jan1979,34100
29Jan1979,27400
30Jan1979,16600
31Jan1979,17400
01Feb1979,15400
02Feb1979,13100
03Feb1979,11700
04Feb1979,10600
05Feb1979,9400
06Feb1979,8000
07Feb1979,6400
08Feb1979,11000
09Feb1979,7500
10Feb1979,7000
11Feb1979,6300
12Feb1979,7100
13Feb1979,6200
14Feb1979,6000
15Feb1979,8400
16Feb1979,14400
17Feb1979,39500
18Feb1979,48200
19Feb1979,45700
20Feb1979,39400
21Feb1979,24600
22Feb1979,30700
23Feb1979,40400
24Feb1979,59800
25Feb1979,97200
26Feb1979,104400
27Feb1979,61000
28Feb1979,44200
01Mar1979,47000
02Mar1979,70000
03Mar1979,84000
04Mar1979,81600
05Mar1979,95000
06Mar1979,102200
07Mar1979,90800
08Mar1979,80900
09Mar1979,66400
10Mar1979,51300
11Mar1979,43500
12Mar1979,39500
13Mar1979,35500
14Mar1979,29500
15Mar1979,27100
16Mar1979,24400
17Mar1979,21700
18Mar1979,19000
19Mar1979,16600
20Mar1979,14400
21Mar1979,13600
22Mar1979,13900
23Mar1979,13000
24Mar1979,13300
25Mar1979,56000
26Mar1979,56600
27Mar1979,45700
28Mar1979,33200
29Mar1979,32900
30Mar1979,27800
31Mar1979,27800
01Apr1979,1000
02Apr1979,18800
03Apr1979,16500
04Apr1979,20100
05Apr1979,35700
06Apr1979,30700
07Apr1979,30900
08Apr1979,26200
09Apr1979,24000
10Apr1979,20000
11Apr1979,28500
12Apr1979,25400
13Apr1979,28300
14Apr1979,28300
15Apr1979,24400
16Apr1979,21900
17Apr1979,18400
18Apr1979,17200
19Apr1979,19000
20Apr1979,15000
21Apr1979,15000
22Apr1979,24400
23Apr1979,12700
24Apr1979,10700
25Apr1979,11500
26Apr1979,13400
27Apr1979,14500
28Apr1979,37100
29Apr1979,48400
30Apr1979,40900
01May1979,26000
02May1979,24400
03May1979,27200
04May1979,26500
05May1979,32000
06May1979,20200
07May1979,20200
08May1979,23100
09May1979,18100
10May1979,16100
11May1979,15000
12May1979,23400
13May1979,48600
14May1979,64500
15May1979,67200
16May1979,46300
17May1979,33500
18May1979,25200
19May1979,23000
