prob value
0.0013698630136986301 97000.0
0.00410958904109589 91000.0
0.00684931506849315 84900.0
0.009589041095890411 82400.0
0.012328767123287671 72700.0
0.015068493150684932 69300.0
0.01780821917808219 66700.0
0.02054794520547945 65000.0
0.023287671232876714 63000.0
0.026027397260273973 62900.0
0.028767123287671233 62500.0
0.031506849315068496 62200.0
0.03424657534246575 60900.0
0.036986301369863014 56600.0
0.03972602739726028 55800.0
0.04246575342465753 55200.0
0.045205479452054796 55000.0
0.04794520547945205 53100.0
0.050684931506849315 51200.0
0.05342465753424658 51000.0
0.056164383561643834 51000.0
0.0589041095890411 50700.0
0.06164383561643835 50600.0
0.06438356164383562 50000.0
0.06712328767123288 49500.0
0.06986301369863014 48800.0
0.07260273972602739 48300.0
0.07534246575342465 47800.0
0.07808219178082192 47400.0
0.08082191780821918 47200.0
0.08356164383561644 46400.0
0.0863013698630137 45200.0
0.08904109589041095 44500.0
0.09178082191780822 44500.0
0.09452054794520548 43900.0
0.09726027397260274 42400.0
0.1 41000.0
0.10273972602739725 40500.0
0.10547945205479452 39100.0
0.10821917808219178 39000.0
0.11095890410958904 38200.0
0.1136986301369863 37900.0
0.11643835616438356 37900.0
0.11917808219178082 37200.0
0.12191780821917808 36600.0
0.12465753424657534 36200.0
0.1273972602739726 35900.0
0.13013698630136986 35900.0
0.13287671232876713 35800.0
0.13561643835616438 35500.0
0.13835616438356163 33300.0
0.1410958904109589 32400.0
0.14383561643835616 31600.0
0.14657534246575343 31200.0
0.14931506849315068 29700.0
0.15205479452054796 29400.0
0.1547945205479452 29300.0
0.15753424657534246 29100.0
0.16027397260273973 28600.0
0.16301369863013698 28600.0
0.16575342465753426 28500.0
0.1684931506849315 28500.0
0.17123287671232876 28300.0
0.17397260273972603 28300.0
0.17671232876712328 28100.0
0.17945205479452056 28000.0
0.1821917808219178 27500.0
0.18493150684931506 27000.0
0.18767123287671234 26100.0
0.19041095890410958 25300.0
0.19315068493150686 25000.0
0.1958904109589041 24100.0
0.19863013698630136 24100.0
0.20136986301369864 23100.0
0.20410958904109588 22900.0
0.20684931506849316 22700.0
0.2095890410958904 22600.0
0.21232876712328766 22500.0
0.21506849315068494 22500.0
0.21780821917808219 22400.0
0.22054794520547946 22300.0
0.2232876712328767 22000.0
0.22602739726027396 22000.0
0.22876712328767124 22000.0
0.23150684931506849 21800.0
0.23424657534246576 21500.0
0.236986301369863 21400.0
0.23972602739726026 21400.0
0.24246575342465754 21200.0
0.2452054794520548 21000.0
0.24794520547945206 21000.0
0.25068493150684934 21000.0
0.2534246575342466 20700.0
0.25616438356164384 20700.0
0.2589041095890411 20500.0
0.26164383561643834 20400.0
0.26438356164383564 20400.0
0.2671232876712329 20300.0
0.26986301369863014 20200.0
0.2726027397260274 20000.0
0.27534246575342464 19600.0
0.27808219178082194 19500.0
0.2808219178082192 19500.0
0.28356164383561644 19400.0
0.2863013698630137 19300.0
0.28904109589041094 19000.0
0.29178082191780824 18700.0
0.2945205479452055 18700.0
0.29726027397260274 18500.0
0.3 18400.0
0.30273972602739724 18300.0
0.30547945205479454 18200.0
0.3082191780821918 18100.0
0.31095890410958904 18100.0
0.3136986301369863 17700.0
0.31643835616438354 17700.0
0.31917808219178084 17400.0
0.3219178082191781 17400.0
0.32465753424657534 17200.0
0.3273972602739726 16900.0
0.33013698630136984 16800.0
0.33287671232876714 16800.0
0.3356164383561644 16500.0
0.33835616438356164 16000.0
0.3410958904109589 15700.0
0.34383561643835614 15700.0
0.34657534246575344 15600.0
0.3493150684931507 15500.0
0.35205479452054794 15400.0
0.3547945205479452 14500.0
0.35753424657534244 14500.0
0.36027397260273974 14400.0
0.363013698630137 14200.0
0.36575342465753424 14200.0
0.3684931506849315 14200.0
0.37123287671232874 14100.0
0.37397260273972605 14100.0
0.3767123287671233 14000.0
0.37945205479452054 13800.0
0.3821917808219178 13400.0
0.38493150684931504 13100.0
0.38767123287671235 13100.0
0.3904109589041096 12900.0
0.39315068493150684 12800.0
0.3958904109589041 12700.0
0.39863013698630134 12600.0
0.40136986301369865 12500.0
0.4041095890410959 12400.0
0.40684931506849314 12400.0
0.4095890410958904 12400.0
0.4123287671232877 12400.0
0.41506849315068495 12400.0
0.4178082191780822 12300.0
0.42054794520547945 12300.0
0.4232876712328767 12000.0
0.426027397260274 12000.0
0.42876712328767125 12000.0
0.4315068493150685 11700.0
0.43424657534246575 11700.0
0.436986301369863 11600.0
0.4397260273972603 11600.0
0.44246575342465755 11600.0
0.4452054794520548 11600.0
0.44794520547945205 11500.0
0.4506849315068493 11000.0
0.4534246575342466 11000.0
0.45616438356164385 10900.0
0.4589041095890411 10800.0
0.46164383561643835 10800.0
0.4643835616438356 10700.0
0.4671232876712329 10600.0
0.46986301369863015 10600.0
0.4726027397260274 10600.0
0.47534246575342465 10500.0
0.4780821917808219 10500.0
0.4808219178082192 10500.0
0.48356164383561645 10500.0
0.4863013698630137 10500.0
0.48904109589041095 10400.0
0.4917808219178082 10300.0
0.4945205479452055 10200.0
0.49726027397260275 10100.0
0.5 10100.0
0.5027397260273972 10000.0
0.5054794520547945 10000.0
0.5082191780821917 9900.0
0.510958904109589 9900.0
0.5136986301369864 9800.0
0.5164383561643836 9800.0
0.5191780821917809 9700.0
0.5219178082191781 9700.0
0.5246575342465754 9600.0
0.5273972602739726 9600.0
0.5301369863013699 9500.0
0.5328767123287671 9500.0
0.5356164383561643 9400.0
0.5383561643835616 9200.0
0.541095890410959 9200.0
0.5438356164383562 9100.0
0.5465753424657535 9000.0
0.5493150684931507 9000.0
